ID;SEZIONE;NOME IDROMETRO;NOME_BACIN;DATI_DA;NOME_DOMIN;COMUNE;PROV;REGIONE;BACINO;LON;LAT;AREA;CORR_TIME;CN;THR1;THR2;THR3;ALERTZONE;Q_ALLARME;Q_ARANCIONE;Q_ALLERTA;Fonte Q_soglia;StimaQoss;QUAL1_5;CALIBRATO;Err_Rel_Qp;NashSut;FonteSdD
-9999;PonteFiumara;Campochiaro Quirino;Biferno;Biferno, PonteFiumara;VolturnoDomain;-;-;-;-9999;14.54;41.48;103;3.0;-9999;-9999;-9999;-9999;-9999;39;62;78;Statistica;Scala di deflusso;3;no;-0.99;-0.69;CF Regione Molise, 2021
-9999;Pontelagoscuro;Pontelagoscuro;Po;Po, Pontelagoscuro;PoBasin;-;;Emilia Romagna;44;11.61525059;44.8879509;66476;69.9;-9999;50;130;250;-9999;4344;5032;6116;CF;Scala di deflusso;3;no;0.626;<-1;ARPA Emilia Romagna, 2020
-9999;Pontelatrave;Pontelatrave;Chienti;Chienti, Pontelatrave;MarcheDomain;-;-;-;-9999;13.08;43.08;307;5.0;-9999;-9999;-9999;-9999;-9999;65;110;148;Statistica;-9999;4;no;4.86;<-1;Regione Marche, 2021
-9999;Pontesei;-;Piave;Piave, Pontesei;FriuliDomain;-;-;-;-9999;12.22701;46.33623;151.45;3.6;-9999;-9999;-9999;-9999;-9999;118;199;262;Statistica;-9999;-9999;no;-9999;-9999;N.D.
104;Pontey;Pontey Dora Baltea;Dorabaltea;Dorabaltea, Pontey;PoBasin;CHATILLON;AO;VALLE D'AOSTA;32;7.61786;45.74243;2410;13.5;78;320;430;520;152;211;435;684;CF;Scala di deflusso;2;no;-0.403;<-1;N.D.
-9999;Ponticelli;Ponticelli;Tevere;Tevere, Ponticelli;TevereBasin;-;-;Lazio;-9999;11.9658;42.9292;47;2.1;-9999;200;270;390;-9999;13;22;55;CF;Scala di deflusso;4;si;-0.18;0.53;CF Umbria, 2018
-9999;Pontremoli-S.Giustina;Pontremoli-S.Giustina;Magra;Magra, Pontremoli-S.Giustina;LiguriaDomain;-;-;LIGURIA;-9999;9.89667;44.36195;152;3.6;-9999;90;140;210;5;220;390;709;CF;Scala di deflusso;3;no;-0.146;0.76;ARPAL, 2018
-9999;PortaCartara;Porta Cartara;Tronto;Tronto, PortaCartara;MarcheDomain;-;-;-;-9999;13.57;42.85;150;3.6;-9999;-9999;-9999;-9999;-9999;42;73;98;Statistica;-9999;3;no;0.85;<-1;Regione Marche, 2021
-9999;Porto Recanati;Porto Recanati;Potenza;Potenza, Porto Recanati;MarcheDomain;Recanati;-;MARCHE;-9999;13.65162;43.41521;770;7.7;-9999;290;340;380;-9999;89;117;148;CF;Scala di deflusso;2;si;0.021;<-1;Regione Marche, 2021
-9999;Porto SantElpidio;Porto S.Elpidio;Tenna;Tenna, Porto SantElpidio;MarcheDomain;-;-;MARCHE;-9999;13.77223;43.23261;490;6.2;-9999;10;60;100;70;18;70;161;CF;Scala di deflusso;2;no;-0.608;-0.45;Regione Marche, 2021
-9999;Porto Torres;Mannu di Porto Torres;Mannu;Mannu, Porto Torres;SardegnaDomain;-;-;SARDEGNA;-9999;8.3934;40.8382;610;6.9;-9999;110;170;250;-9999;93;147;185;Statistica;-9999;-9999;no;-9999;-9999;N.D.
450;Posada;-;Posada;Posada, Posada;SardegnaDomain;POSADA;NU;SARDEGNA;451;9.71111;40.63821;671;7.2;-9999;250;380;470;97;357;567;715;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;Potenza 1;Potenza 1;Potenza;Potenza, Potenza 1;MarcheDomain;-;-;MARCHE;-9998;13.18845;43.22954;340;5.2;-9999;270;320;390;-9999;64;81;149;CF;Scala di deflusso;5;si;0.153;<-1;Regione Marche, 2021
-9999;Pradella;Pradella;Taro;Taro,Pradella;PoBasin;-;-;-;-9999;9.74;44.48;293;4.9;-9999;230;300;430;-9999;360;552;909;CF;Scala di deflusso;1;no;-9999;-9999;ARPA Emilia Romagna,2016
196;Prata di Pordenone;Prata di Pordenone F.Meduna;Meduna;Meduna, Prata di Pordenone;FriuliDomain;PRATA DI PORDENONE;PN;FRIULI VENEZIA GIULIA;164;12.60713;45.88308;1180;9.5;67;-9999;-9999;-9999;45;1535;2516;3232;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;Prato;Prato Idro;Arno;Arno, Prato;ToscanaDomain;-;-;-;-9999;11.105;43.879;165;3.7;-9999;50;100;150;-9999;94;134;205;CF;Scala di deflusso;4;no;-0.11;0.54;Regione Toscana, 2025
-9999;Predappio;Predappio;Rabbi;Rabbi, Predappio;RomagnaDomain;-;-;-;-9999;11.9838;44.108;172;3.8;-9999;70;120;250;-9999;8;29;87;CF;Scala di deflusso;3;si;0.7;-0.7;ARPA Emilia Romagna, 2018
8;Quattroventi;Quattroventi;Volturno;Volturno, Quattroventi;VolturnoDomain;Pietravairano;BN;Campania;14;14.2042;41.36;1240;9.8;63;360;380;390;25;272;382;459;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;Quinto Vercellese Cervo;Quinto Vercellese Cervo;Sesia;Sesia, Quinto Vercellese Cervo;PoBasin;-;VC;Lombardia;0;8.37403;45.38145;1044;9.0;-9999;200;250;350;-9999;703;931;1390;CF;Scala di deflusso;5;no;-0.028;-0.16;ARPAPiemonte, 2018
-9999;Racconigi;Racconigi Maira;Maira;Maira,Racconigi;PoBasin;-;-;-;-9999;7.66;44.77;1147;9.4;-9999;80;100;200;-9999;132;180;424;CF;Scala di deflusso;4;no;-9999;-9999;Arpa Piemonte,2019
-9999;RagoletoDiga;Ragoleto Diga R2;Acate;Acate, RagoletoDiga;SiciliaDomain;-;-;SICILIA;-9999;14.69;37.12;102.65;3.0;-9999;-9999;-9999;-9999;-9999;66;107;138;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;Rasponi;-;Uniti;Uniti, Rasponi;RomagnaDomain;-;-;-;-9999;12.27317;44.39377;1420;10.4;-9999;300;400;-9999;-9999;986;1440;1774;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;Reda;Reda;Lamone;Lamone, Reda;RomagnaDomain;-;-;-;-9999;11.9431;44.3069;520;6.4;-9999;660;800;940;-9999;328;437;547;CF;Scala di deflusso;3;si;0.5;0.65;ARPA Emilia Romagna, 2018
-9999;Reggio Calabria;Reggio Calabria - Catona;Catona;Catona, Reggio Calabria;CalabriaDomain;-;-;CALABRIA;-9999;15.6381;38.185;70;2.5;-9999;-9999;-9999;-9999;-9999;48;69;83;Statistica;-9999;-9999;no;-9999;-9999;N.D.
150;Reitano;Simeto a Catania;Simeto;Simeto, Reitano;SiciliaDomain;CATANIA;CT;SICILIA;4;15.06417;37.40014;3944.9088;17.2;68;-9999;-9999;-9999;103;1164;1559;1742;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;Rieti;-;Velino;Velino, Rieti;TevereBasin;-;-;Lazio;-9999;12.8694;42.4028;1330;10.1;-9999;260;300;360;-9999;145;254;348;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;Rifornitore Tirso;Tirso a rifornitore Tirso;Tirso;Tirso,Rifornitore Tirso;SardegnaDomain;-;-;-;-9999;9.04;40.33;592;6.8;-9999;140;200;280;-9999;13;36;103;CF;Scala di deflusso;3;si;0.39;0.34;Regione Sardegna,2013
-9999;Rimini SS16;Rimini SS16;Marecchia;Marecchia, Rimini SS16;MarcheDomain;-;-;Emilia Romagna;-9999;12.5347;44.0619;510;6.3;-9999;220;300;400;-9999;218;358;533;CF;Scala di deflusso;3;no;-9999;-9999;ARPA Emilia Romagna, 2018
495;RiolaSardo;-;Pischilappiu;Pischilappiu, RiolaSardo;SardegnaDomain;RIOLA SARDO;OR;SARDEGNA;456;8.5342;39.99833;301;4.9;-9999;-9999;-9999;-9999;94;62;98;123;Statistica;-9999;-9999;no;-9999;-9999;N.D.
-9999;Ripafratta;Ripafratta;Serchio;Serchio, Ripafratta;ToscanaDomain;-;-;-;-9999;10.41;43.82;1347;10.2;-9999;130;180;230;-9999;111;159;302;CF;Scala di deflusso;4;no;0;0.48;Regione Toscana, 2025
-9999;Ripalta;Fiume Fortore a Ponte Ripalta;Fortore;Fortore, Ripalta;VolturnoDomain;Lesina;FG;PUGLIA;-9999;15.25474213;41.86840597;1703.5;11.4;-9999;500;600;700;-9999;105;160;230;CF;Scala di deflusso;2;no;-0.152;<-1;CF Regione Puglia, 2024
