ID,SEC_CODE,SEC_NAME,BASIN,SEC_TAG,DOMAIN,ADMIN_B_L3,ADMIN_B_L2,ADMIN_B_L1,TYPE,LON,LAT,AREA,Q_THR1,Q_THR2,Q_THR3,SEC_RS,HMC_X,HMC_Y
63,-9999,Trisungo,Tronto,Tronto:Trisungo,Marche,Arquata del Tronto,AP,Marche,River,13.311667,42.7742,330.0,40.0,100.0,-9999.0,-9999,450,423
64,-9999,Grisciano,Tronto,Tronto:Grisciano,Marche,Accumoli,RI,Lazio,River,13.2686,42.73,270.0,32.0,75.0,-9999.0,-9999,463,408
65,-9999,Accumoli,Tronto,Tronto:Accumoli,Marche,Accumoli,RI,Lazio,River,13.2524,42.7,228.0,30.0,70.0,-9999.0,-9999,475,403
66,-9999,Amatrice,Castellano,Castellano:Amatrice,Marche,Amatrice,RI,Lazio,River,13.2846,42.63,31.0,22.0,35.0,-9999.0,-9999,498,414
67,-9999,Amatrice,Tronto,Tronto:Amatrice,Marche,Amatrice,RI,Lazio,River,13.2912,42.6326,57.0,74.0,110.0,-9999.0,-9999,497,417
68,-9999,PoggioVitellino,Tronto,Tronto:PoggioVitellino,Marche,Amatrice,RI,Lazio,River,13.2679,42.66,142.0,105.0,161.0,-9999.0,-9999,488,409
69,-9999,Confluenza,Scandarello,Scandarello:Confluenza,Marche,-,-,-,River,13.2728,42.6491,44.0,26.0,42.0,-9999.0,-9999,492,410
70,-9999,Cornillo,Tronto,Tronto:Cornillo,Marche,-,-,-,River,13.2803,42.6392,89.0,100.0,150.0,-9999.0,-9999,495,413
71,-9999,Libertino,Tronto,Tronto:Libertino,Marche,-,-,-,River,13.257,42.6939,205.0,30.0,70.0,-9999.0,-9999,476,405
72,-9999,Confluenza,Rio,Rio:Confluenza,Marche,-,-,-,River,13.2607,42.7341,18.0,17.3,26.0,-9999.0,-9999,462,405
73,189,PescaraDelTronto,Tronto,Tronto:PescaraDelTronto,Marche,-,-,-,River,13.268,42.7423,290.0,40.0,95.0,-9999.0,3096,460,408
74,-9999,Confluenza,Camartina,Camartina:Confluenza,Marche,Arquata del Tronto,AP,Marche,River,13.3004,42.773,22.0,27.0,39.0,-9999.0,-9999,450,418
75,188,PoggioCasoli,Tronto,Tronto:PoggioCasoli,Marche,-,-,-,River,13.265517,42.686642,197.0,30.0,70.0,-9999.0,-9999,479,408
76,-9,AcquasantaTerme,Tronto,Tronto:AcquasantaTerme,Marche,-,-,-,River,13.40937,42.77122,-9999.0,41.0,141.0,-9999.0,-9999,451,455
77,-9999,Castelsantangelo,Nera,Nera:Castelsantangelo,Marche,-,-,-,River,-9999.0,-9999.0,43.8,2.4,6.0,-9999.0,2700,410,370
78,-9999,PonteTavola,Nera,Nera:PonteTavola,Marche,-,-,-,River,-9999.0,-9999.0,48.5,3.0,6.5,-9999.0,2699,406,365
79,-9999,PonteGaribaldi,Misa,Misa:PonteGaribaldi,Marche,-,-,-,River,-9999.0,-9999.0,379.0,50.0,110.0,-9999.0,-9999,137,390
80,-9999,PortaCartara,Castellano,Castellano:PortaCartara,Marche,-,-,-,River,-9999.0,-9999.0,163.6,20.0,50.0,-9999.0,-9999,425,509
81,-9999,SMariaGoretti,Tesino,Tesino:SmariaGoretti,Marche,-,-,-,River,-9999.0,-9999.0,76.4,20.0,50.0,-9999.0,1088,385,556
82,-9999,SMicheleAlFiume,Cesano,Cesano:SmicheleAlFiume,Marche,-,-,-,River,-9999.0,-9999.0,282.4,40.0,80.0,-9999.0,1080,153,324
83,-9999,Valmir,Aso,Aso:Valmir,Marche,-,-,-,River,-9999.0,-9999.0,222.4,40.0,85.0,-9999.0,3063,360,545
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
